,geneSymbol
1246,AT2G04520
1247,AT2G30620
1248,AT2G31610
1249,AT2G36950
1250,AT2G40650
1251,AT2G47610
1252,AT3G03773
1253,AT3G05900
1254,AT3G08530
1255,AT3G09440
1256,AT3G11130
1257,AT3G49660
1258,AT3G50520
1259,AT3G53230
1260,AT3G53870
1261,AT3G62870
1262,AT4G24110
1263,AT4G24690
1264,AT4G36130
1265,AT4G36820
1266,AT5G02490
1267,AT5G03340
1268,AT5G04120
1269,AT5G35210
1270,AT5G35530
1271,AT5G35680
1272,AT5G46630
1273,AT5G60390
1274,ATAD1
1275,ATAD2
1276,ATAD2B
1277,ATAD3A
1278,ATAD3B
1279,ATAD3C
1280,ATAD5
1281,ATAT1
1282,ATCAY
1283,ATE1
1284,ATF1
1285,ATF2
1286,ATF3
1287,ATF4
1288,ATF5
1289,ATF6
1290,ATF6B
1291,ATF7
1292,ATF7IP
1293,ATF7IP2
1294,ATG1
1295,ATG10
1296,ATG101
1297,ATG12
1298,ATG13
1299,ATG14
1300,ATG15
1301,ATG16L1
1302,ATG16L2
1303,ATG18
1304,ATG19
1305,ATG2A
1306,ATG2B
1307,ATG3
1308,ATG32
1309,ATG4
1310,ATG4A
1311,ATG4B
1312,ATG4C
1313,ATG4D
1314,ATG5
1315,ATG7
1316,ATG8
1317,ATG9A
1318,ATG9B
1319,ATHL1
1320,ATIC
1321,ATL1
1322,ATL2
1323,ATL3
1324,ATM
1325,ATMIN
1326,ATMS1
1327,ATN1
1328,ATOH1
1329,ATOH7
1330,ATOH8
1331,ATOX1
1332,ATP1
1333,ATP10A
1334,ATP10B
1335,ATP10D
1336,ATP11A
1337,ATP11B
1338,ATP11C
1339,ATP12A
1340,ATP13A1
1341,ATP13A2
1342,ATP13A3
1343,ATP13A4
1344,ATP13A5
1345,ATP1A1
1346,ATP1A2
1347,ATP1A3
1348,ATP1A4
1349,ATP1B1
1350,ATP1B2
1351,ATP1B3
1352,ATP1B4
1353,ATP2
1354,ATP2A1
1355,ATP2A2
1356,ATP2A3
